+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
|  q\P  |  0.90  | 0.91  | 0.92  | 0.93  | 0.94  | 0.95  | 0.96  | 0.97  | 0.98  | 0.99  |
+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
| 0.005000 |  459 |  480 |  503 |  530 |  561 |  597 |  642 |  699 |  780 |  918
| 0.010000 |  229 |  239 |  251 |  264 |  279 |  298 |  320 |  348 |  389 |  458
| 0.015000 |  152 |  159 |  167 |  175 |  186 |  198 |  212 |  232 |  258 |  304
| 0.020000 |  113 |  119 |  125 |  131 |  139 |  148 |  159 |  173 |  193 |  227
| 0.025000 |   90 |   95 |   99 |   105 |  111 |  118 |  127 |  138 |  154 |  181
| 0.030000 |   75 |   79 |   82 |   87 |   92 |   98 |   105 |  115 |  128 |  151
| 0.035000 |   64 |   67 |   70 |   74 |   78 |   84 |   90 |   98 |   109 |  129
| 0.040000 |   56 |   58 |   61 |   65 |   68 |   73 |   78 |   85 |   95 |  112
| 0.045000 |   50 |   52 |   54 |   57 |   61 |   65 |   69 |   76 |   84 |   100
| 0.050000 |   44 |   46 |   49 |   51 |   54 |   58 |   62 |   68 |   76 |   89
| 0.055000 |   40 |   42 |   44 |   47 |   49 |   52 |   56 |   61 |   69 |   81
| 0.060000 |   37 |   38 |   40 |   42 |   45 |   48 |   52 |   56 |   63 |   74
| 0.065000 |   34 |   35 |   37 |   39 |   41 |   44 |   47 |   52 |   58 |   68
| 0.070000 |   31 |   33 |   34 |   36 |   38 |   41 |   44 |   48 |   53 |   63
| 0.075000 |   29 |   30 |   32 |   34 |   36 |   38 |   41 |   44 |   50 |   59
| 0.080000 |   27 |   28 |   30 |   31 |   33 |   35 |   38 |   42 |   46 |   55
| 0.085000 |   25 |   27 |   28 |   29 |   31 |   33 |   36 |   39 |   44 |   51
| 0.090000 |   24 |   25 |   26 |   28 |   29 |   31 |   34 |   37 |   41 |   48
| 0.095000 |   23 |   24 |   25 |   26 |   28 |   30 |   32 |   35 |   39 |   46
+----------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+
